instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.096666667,-0.242222222,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.096666667,-0.242222222,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,1.5325,,,,,,,,1.5325,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.6993,,,,,,,,0.6993,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.7246,,,,,,,,0.7246,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.6471,,,,,,,,0.6471,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.9383,,,,,,,,0.9383,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.6675,,,,,,,,0.6675,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.7234,,,,,,,,0.7234,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.8343,,,,,,,,0.8343,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,1.6118,,,,,,,,1.6118,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.6262,,,,,,,,0.6262,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,1.3571,,,,,,,,1.3571,1,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.8567,,,,,,,,0.8567,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.9795,,,,,,,,0.9795,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.5589,,,,,,,,0.5589,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.5678,,,,,,,,0.5678,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.7904,,,,,,,,0.7904,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.6455,,,,,,,,0.6455,1,0,6,6,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.8119,,,,,,,,0.8119,1,0,7,7,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.6239,,,,,,,,0.6239,1,0,8,8,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,0.7348,,,,,,,,0.7348,1,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,1.1822,,,,,,,,1.1822,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,a,1,1.7478,,,,,,,,1.7478,1,0,1,1,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.8354,,,,,,,,0.8354,1,0,2,2,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,1.8233,,,,,,,,1.8233,1,0,3,3,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,--,2,001,female,2024-01-24_21h54.04.778,openIAT,2020.1.0rc3,Win32,60,l,1,0.9568,,,,,,,,0.9568,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
