instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.0675,-0.238333333,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0675,-0.238333333,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,1.9436,,,,,,,,1.9436,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.8741,,,,,,,,0.8741,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.7022,,,,,,,,0.7022,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6416,,,,,,,,0.6416,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.7223,,,,,,,,0.7223,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.5371,,,,,,,,0.5371,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.4908,,,,,,,,0.4908,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.5423,,,,,,,,0.5423,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,0,0.6019,,,,,,,,0.6019,0,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.9929,,,,,,,,0.9929,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,1.4869,,,,,,,,1.4869,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,1.2391,,,,,,,,1.2391,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.9774,,,,,,,,0.9774,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6846,,,,,,,,0.6846,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6923,,,,,,,,0.6923,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.585,,,,,,,,0.585,1,0,5,5,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.5379,,,,,,,,0.5379,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.569,,,,,,,,0.569,1,0,7,7,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.5855,,,,,,,,0.5855,1,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.5525,,,,,,,,0.5525,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.6735,,,,,,,,0.6735,1,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.6043,,,,,,,,0.6043,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.5794,,,,,,,,0.5794,1,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.6281,,,,,,,,0.6281,1,0,3,3,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.5022,,,,,,,,0.5022,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6017,,,,,,,,0.6017,1,0,5,5,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6349,,,,,,,,0.6349,1,0,6,6,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.5713,,,,,,,,0.5713,1,0,7,7,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.5848,,,,,,,,0.5848,1,0,8,8,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.4513,,,,,,,,0.4513,1,0,9,9,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,0,0.4682,,,,,,,,0.4682,0,0,10,10,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.9255,,,,,,,,0.9255,1,0,11,11,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,a,1,0.6017,,,,,,,,0.6017,1,0,12,12,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,0,0.7418,,,,,,,,0.7418,0,0,13,13,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,A,2,001,female,2023-03-07_16h08.51.456,openIAT,2020.1.0rc3,Win32,60,l,1,0.6945,,,,,,,,0.6945,1,0,14,14,3,1,stimuli/white_2.jpg,,l,,,,,,,,
