instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.07421875,0.049479167,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07421875,0.05078125,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,10.809,,,,,,,,10.809,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.905,,,,,,,,0.905,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.808,,,,,,,,0.808,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.727,,,,,,,,0.727,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.641,,,,,,,,0.641,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.843,,,,,,,,0.843,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.774,,,,,,,,0.774,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.955,,,,,,,,0.955,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,0.806,,,,,,,,0.806,0,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.856,,,,,,,,0.856,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.507,,,,,,,,1.507,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.79,,,,,,,,0.79,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.737,,,,,,,,0.737,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.789,,,,,,,,0.789,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.704,,,,,,,,0.704,1,0,4,4,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.84,,,,,,,,0.84,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.637,,,,,,,,0.637,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.673,,,,,,,,0.673,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,Benjamin,2,001,male,2021-10-12_16h46.11.791,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.589,,,,,,,,0.589,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
