instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.115740756,-0.32777779,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115740756,-0.32777779,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,2.288599999,,,,,,,,2.288599999,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,4.9342,,,,,,,,4.9342,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,1.5813,,,,,,,,1.5813,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,3.359900001,,,,,,,,3.359900001,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,2.2487,,,,,,,,2.2487,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,1.054900001,,,,,,,,1.054900001,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,0.697299999,,,,,,,,0.697299999,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,0.7654,,,,,,,,0.7654,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,0.7031,,,,,,,,0.7031,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,3.594099999,,,,,,,,3.594099999,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,5.822,,,,,,,,5.822,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,1.3848,,,,,,,,1.3848,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,1.6405,,,,,,,,1.6405,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,1.5752,,,,,,,,1.5752,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,0.8262,,,,,,,,0.8262,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,0.8887,,,,,,,,0.8887,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,2.0589,,,,,,,,2.0589,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,1.863099999,,,,,,,,1.863099999,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,1.867,,,,,,,,1.867,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,0.6741,,,,,,,,0.6741,1,0,9,9,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,l,1,1.919,,,,,,,,1.919,1,0,0,0,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,IMERYS_711,1,001,male,2022-05-25_15h15.37.333,openIAT,2020.1.0rc3,Win32,60,a,1,0.8602,,,,,,,,0.8602,1,0,1,1,10,1,stimuli/blank.png,Good,a,,,,,,,,
