instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.057848824,-0.420160859,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057848824,-0.420160859,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.4344,,,,,,,,1.4344,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.9962,,,,,,,,0.9962,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.8084,,,,,,,,0.8084,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.2079,,,,,,,,1.2079,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.4822,,,,,,,,0.4822,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,2.0098,,,,,,,,2.0098,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.6333,,,,,,,,0.6333,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,JOCAR1_835,1,001,female,2022-10-04_13h10.49.923,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.5242,,,,,,,,0.5242,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
