instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.02037037,-0.140740741,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02037037,-0.140740741,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.667045,,,,,,,,1.667045,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.10563,,,,,,,,1.10563,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.05522,,,,,,,,1.05522,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,0,1.07286,,,,,,,,1.07286,0,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,1.04094,,,,,,,,1.04094,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,19.959025,-0.036286019,-0.263073639,1,0,0,19.21797,,19.959025,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.35448,,,,,,,,1.35448,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,1.02272,,,,,,,,1.02272,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,0,0.77784,,,,,,,,0.77784,0,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.588135,,,,,,,,1.588135,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.38859,,,,,,,,1.38859,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.342445,,,,,,,,1.342445,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.245035,,,,,,,,1.245035,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.79189,,,,,,,,0.79189,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.73841,,,,,,,,0.73841,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.95412,,,,,,,,0.95412,1,0,5,5,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.853755,,,,,,,,0.853755,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.761625,,,,,,,,0.761625,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.671055,,,,,,,,0.671055,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.738525,,,,,,,,0.738525,1,0,9,9,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.805305,,,,,,,,0.805305,1,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.83924,,,,,,,,0.83924,1,0,1,1,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.677515,,,,,,,,0.677515,1,0,2,2,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.955025,,,,,,,,0.955025,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.987405,,,,,,,,0.987405,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,0,1.13707,,,,,,,,1.13707,0,0,5,5,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,1.12859,,,,,,,,1.12859,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,0,0.989265,,,,,,,,0.989265,0,0,7,7,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,l,1,0.69192,,,,,,,,0.69192,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.622495,,,,,,,,0.622495,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,0.790935,,,,,,,,0.790935,1,0,10,10,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Jj,1,001,male,2020-11-03_13h46.22.719,openIAT,2020.1.0rc3,Win32,60,a,1,1.155805,,,,,,,,1.155805,1,0,11,11,10,1,stimuli/blank.png,Good,a,,,,,,,,
