instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.65462963,-0.225,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65462963,-0.225,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,1.2508,,,,,,,,1.2508,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.7264,,,,,,,,0.7264,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.6379,,,,,,,,0.6379,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.5742,,,,,,,,0.5742,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.5062,,,,,,,,0.5062,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.5703,,,,,,,,0.5703,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.5437,,,,,,,,0.5437,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.9259,,,,,,,,0.9259,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.4839,,,,,,,,0.4839,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.5645,,,,,,,,0.5645,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,1.5024,,,,,,,,1.5024,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.789,,,,,,,,0.789,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.9213,,,,,,,,0.9213,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.8165,,,,,,,,0.8165,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,0,0.9231,,,,,,,,0.9231,0,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.6994,,,,,,,,0.6994,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.6156,,,,,,,,0.6156,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.6019,,,,,,,,0.6019,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,0.7015,,,,,,,,0.7015,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,a,1,0.7892,,,,,,,,0.7892,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,Lone scholar,1,001,female,2022-08-25_10h51.03.980,openIAT,2020.1.0rc3,Win32,60,l,1,1.5731,,,,,,,,1.5731,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
