instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.071614583,-0.095052083,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200520833,0.006510417,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,l,1,3.169,,,,,,,,3.169,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,l,1,2.2381,,,,,,,,2.2381,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,a,1,1.1193,,,,,,,,1.1193,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,a,0,0.7218,,,,,,,,0.7218,0,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,a,1,1.2738,,,,,,,,1.2738,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,l,1,1.0359,,,,,,,,1.0359,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,l,0,1.1541,,,,,,,,1.1541,0,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,VALEN,2,001,female,2023-04-02_20h53.19.071,openIAT,2020.1.0rc3,Win32,60,l,1,2.2363,,,,,,,,2.2363,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
