instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.313888889,0.05,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.313888889,0.05,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.835095,,,,,,,,0.835095,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.67451,,,,,,,,0.67451,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,1.07885,,,,,,,,1.07885,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.64352,,,,,,,,0.64352,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,0.63155,,,,,,,,0.63155,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.60681,,,,,,,,0.60681,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.648015,,,,,,,,0.648015,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,0.54839,,,,,,,,0.54839,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,0.92449,,,,,,,,0.92449,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,0.77545,,,,,,,,0.77545,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,2.612615,,,,,,,,2.612615,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.65964,,,,,,,,0.65964,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,l,1,0.67638,,,,,,,,0.67638,1,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,X,2,001,male,2020-09-02_14h26.24.634,openIAT,2020.1.0rc3,Win32,60,a,1,0.58369,,,,,,,,0.58369,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
