instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.141666667,-0.025,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.141666667,-0.025,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,l,1,1.6806,,,,,,,,1.6806,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,l,1,0.952,,,,,,,,0.952,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,a,1,0.6539,,,,,,,,0.6539,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,l,1,1.0805,,,,,,,,1.0805,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,l,1,0.7232,,,,,,,,0.7232,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,a,1,0.5871,,,,,,,,0.5871,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,l,1,0.6076,,,,,,,,0.6076,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,a,1,0.587,,,,,,,,0.587,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,a,1,0.6135,,,,,,,,0.6135,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,a,1,0.5381,,,,,,,,0.5381,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,YSL,1,001,male,2023-12-18_19h37.29.673,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
