instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.298148134,0.07870369,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.051851824,-0.152777778,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,1.5239,,,,,,,,1.5239,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,0,0.0926,,,,,,,,0.0926,0,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,1.0175,,,,,,,,1.0175,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,1.3032,,,,,,,,1.3032,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7511,,,,,,,,0.7511,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,0,0.4599,,,,,,,,0.4599,0,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.1741,,,,,,,,0.1741,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7125,,,,,,,,0.7125,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.5328,,,,,,,,0.5328,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.7991,,,,,,,,0.7991,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,1.4825,,,,,,,,1.4825,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,1.0488,,,,,,,,1.0488,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.6166,,,,,,,,0.6166,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.5905,,,,,,,,0.5905,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.5834,,,,,,,,0.5834,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7947,,,,,,,,0.7947,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.5847,,,,,,,,0.5847,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.677,,,,,,,,0.677,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.5061,,,,,,,,0.5061,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7849,,,,,,,,0.7849,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,2.9553,,,,,,,,2.9553,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.8325,,,,,,,,0.8325,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.32,,,,,,,,0.32,1,0,2,2,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,0,1.0167,,,,,,,,1.0167,0,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,0,1.1406,,,,,,,,1.1406,0,0,4,4,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.8432,,,,,,,,0.8432,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7595,,,,,,,,0.7595,1,0,6,6,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,0,0.7134,,,,,,,,0.7134,0,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,3.4194,,,,,,,,3.4194,1,0,8,8,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,1.3333,,,,,,,,1.3333,1,0,9,9,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,a,1,0.7401,,,,,,,,0.7401,1,0,10,10,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,abc,1,001,male,2024-04-13_20h36.11.419,openIAT,2020.1.0rc3,Win32,60,l,1,0.5598,,,,,,,,0.5598,1,0,11,11,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
