instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.885396322,-0.203852336,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.885396322,-0.203852336,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.75295,,,,,,,,0.75295,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.76871,,,,,,,,0.76871,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.38992,,,,,,,,1.38992,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.666265,,,,,,,,0.666265,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.70024,,,,,,,,0.70024,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.63443,,,,,,,,0.63443,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6671,,,,,,,,0.6671,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ajm,1,001,female,2020-09-30_14h01.28.398,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.71986,,,,,,,,0.71986,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
