instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.071296296,-0.219444444,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.071296296,-0.219444444,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,1.5506,,,,,,,,1.5506,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,1.0842,,,,,,,,1.0842,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.9301,,,,,,,,0.9301,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.8433,,,,,,,,0.8433,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7668,,,,,,,,0.7668,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7841,,,,,,,,0.7841,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.6176,,,,,,,,0.6176,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.6721,,,,,,,,0.6721,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.7365,,,,,,,,0.7365,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7725,,,,,,,,0.7725,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,1.4355,,,,,,,,1.4355,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.8176,,,,,,,,0.8176,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.6087,,,,,,,,0.6087,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.8182,,,,,,,,0.8182,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.5506,,,,,,,,0.5506,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7173,,,,,,,,0.7173,1,0,5,5,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.6831,,,,,,,,0.6831,1,0,6,6,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.6851,,,,,,,,0.6851,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7631,,,,,,,,0.7631,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.6681,,,,,,,,0.6681,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,1.4673,,,,,,,,1.4673,1,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.8006,,,,,,,,0.8006,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.968,,,,,,,,0.968,1,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,1.0009,,,,,,,,1.0009,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.9674,,,,,,,,0.9674,1,0,4,4,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.7063,,,,,,,,0.7063,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,l,1,0.9518,,,,,,,,0.9518,1,0,6,6,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,asda,2,001,male,2023-05-17_15h02.45.304,openIAT,2020.1.0rc3,Win32,60,a,1,0.9173,,,,,,,,0.9173,1,0,7,7,10,1,stimuli/blank.png,Good,a,,,,,,,,
