instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.135416667,-0.337962963,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.135416667,-0.337962963,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,1.342,,,,,,,,1.342,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.913,,,,,,,,0.913,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.896,,,,,,,,0.896,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,1.001,,,,,,,,1.001,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.763,,,,,,,,0.763,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,1.113,,,,,,,,1.113,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,0,2.317,,,,,,,,2.317,0,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,1.544,,,,,,,,1.544,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.863,,,,,,,,0.863,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.812,,,,,,,,0.812,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,2.198,,,,,,,,2.198,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.679,,,,,,,,0.679,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.747,,,,,,,,0.747,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.852,,,,,,,,0.852,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.895,,,,,,,,0.895,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.895,,,,,,,,0.895,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.728,,,,,,,,0.728,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,0,0.712,,,,,,,,0.712,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.885,,,,,,,,0.885,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,l,1,0.796,,,,,,,,0.796,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,1.08,,,,,,,,1.08,1,0,0,0,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,bongo,1,001,male,2020-11-03_05h20.35.694,openIAT,2020.1.0rc3,Win32,60,a,1,0.746,,,,,,,,0.746,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
