instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.503472222,-0.165277778,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.503472222,-0.165277778,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.298,,,,,,,,3.298,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.102,,,,,,,,1.102,0,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.048,,,,,,,,1.048,0,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.799,,,,,,,,0.799,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.684,,,,,,,,0.684,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.648,,,,,,,,0.648,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.514,,,,,,,,0.514,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.56,,,,,,,,0.56,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.984,,,,,,,,0.984,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.906,,,,,,,,0.906,0,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.038,,,,,,,,1.038,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.098,,,,,,,,1.098,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.59,,,,,,,,0.59,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.732,,,,,,,,0.732,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.621,,,,,,,,0.621,1,0,4,4,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.583,,,,,,,,0.583,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.508,,,,,,,,0.508,1,0,6,6,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.473,,,,,,,,0.473,1,0,7,7,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.425,,,,,,,,0.425,1,0,8,8,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.421,,,,,,,,0.421,0,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,4.222,,,,,,,,4.222,1,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.249,,,,,,,,1.249,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.654,,,,,,,,0.654,1,0,2,2,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.544,,,,,,,,0.544,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.614,,,,,,,,0.614,1,0,4,4,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.239,,,,,,,,1.239,1,0,5,5,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.714,,,,,,,,0.714,1,0,6,6,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.638,,,,,,,,0.638,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.784,,,,,,,,0.784,0,0,8,8,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.481,,,,,,,,1.481,1,0,9,9,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.883,,,,,,,,1.883,1,0,10,10,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.128,,,,,,,,1.128,0,0,11,11,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.533,,,,,,,,0.533,0,0,12,12,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.516,,,,,,,,0.516,0,0,13,13,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.63,,,,,,,,0.63,1,0,14,14,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.425,,,,,,,,0.425,1,0,15,15,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.404,,,,,,,,0.404,0,0,16,16,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.686,,,,,,,,0.686,1,0,17,17,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.973,,,,,,,,0.973,0,0,18,18,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.082,,,,,,,,1.082,0,0,19,19,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,2.355,,,,,,,,2.355,0,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.257,,,,,,,,1.257,0,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.319,,,,,,,,2.319,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.502,,,,,,,,1.502,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.756,,,,,,,,0.756,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.681,,,,,,,,0.681,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.488,,,,,,,,0.488,0,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.47,,,,,,,,0.47,0,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.356,,,,,,,,0.356,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.393,,,,,,,,0.393,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.451,,,,,,,,0.451,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,df,2,001,female,2020-03-26_19h03.53.845,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.009,,,,,,,,0.009,1,0,1,1,16,1,stimuli/blank.png,Love,a,,,,,,,,
