instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.138888889,-0.271296325,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.887963048,-0.186111097,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,1.3424,,,,,,,,1.3424,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,0,0.3059,,,,,,,,0.3059,0,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,1.5724,,,,,,,,1.5724,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,0,0.9445,,,,,,,,0.9445,0,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,1.9705,,,,,,,,1.9705,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,1.0778,,,,,,,,1.0778,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,l,1,0.8748,,,,,,,,0.8748,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,l,1,1.2658,,,,,,,,1.2658,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,l,1,0.6891,,,,,,,,0.6891,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,1.4491,,,,,,,,1.4491,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,l,0,1.266,,,,,,,,1.266,0,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,l,0,0.857,,,,,,,,0.857,0,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,0,0.8238,,,,,,,,0.8238,0,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,e,2,001,female,2023-11-18_15h37.30.578,openIAT,2020.1.0rc3,Win32,60,a,1,0.0824,,,,,,,,0.0824,1,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
