instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.10031986,-0.118293553,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10031986,-0.118293553,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,0,1.0177,,,,,,,,1.0177,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.1265,,,,,,,,1.1265,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,1.22,,,,,,,,1.22,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.1501,,,,,,,,1.1501,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.6262,,,,,,,,0.6262,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,0.766,,,,,,,,0.766,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,0.7165,,,,,,,,0.7165,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,0.7937,,,,,,,,0.7937,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.8087,,,,,,,,0.8087,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.8889,,,,,,,,0.8889,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,2.4321,,,,,,,,2.4321,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.8833,,,,,,,,1.8833,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,0.7665,,,,,,,,0.7665,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,1.183,,,,,,,,1.183,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,1.1926,,,,,,,,1.1926,1,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,0.8997,,,,,,,,0.8997,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.6368,,,,,,,,0.6368,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.807,,,,,,,,0.807,1,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.1202,,,,,,,,1.1202,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,0.8067,,,,,,,,0.8067,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.7667,,,,,,,,1.7667,1,0,0,0,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,a,1,1.4489,,,,,,,,1.4489,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,gg,1,001,female,2023-02-08_18h57.47.498,openIAT,2020.1.0rc3,Win32,60,l,1,1.519,,,,,,,,1.519,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
