instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.101851852,-0.383333347,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101851852,-0.383333347,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.7103,,,,,,,,0.7103,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.4876,,,,,,,,0.4876,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,0,0.336,,,,,,,,0.336,0,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.5955,,,,,,,,0.5955,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.3457,,,,,,,,0.3457,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,0,0.3521,,,,,,,,0.3521,0,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,0,0.3912,,,,,,,,0.3912,0,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.5289,,,,,,,,0.5289,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.4565,,,,,,,,0.4565,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,0,0.356,,,,,,,,0.356,0,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,1.4782,,,,,,,,1.4782,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.5129,,,,,,,,0.5129,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.547,,,,,,,,0.547,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.421,,,,,,,,0.421,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.9946,,,,,,,,0.9946,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,1,0.5375,,,,,,,,0.5375,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,a,0,0.5374,,,,,,,,0.5374,0,0,6,6,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.8647,,,,,,,,0.8647,1,0,7,7,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,h,2,001,female,2023-07-03_12h36.14.768,openIAT,2020.1.0rc3,Win32,60,l,1,0.474,,,,,,,,0.474,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
