instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.790740741,-0.190740741,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.790740741,-0.190740741,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,l,1,1.796515,,,,,,,,1.796515,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,a,1,0.651415,,,,,,,,0.651415,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,l,1,0.61923,,,,,,,,0.61923,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,a,1,0.677055,,,,,,,,0.677055,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,l,1,0.885385,,,,,,,,0.885385,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,l,1,0.61536,,,,,,,,0.61536,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,l,1,0.49059,,,,,,,,0.49059,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,hb,1,001,male,2020-08-28_19h08.49.040,openIAT,2020.1.0rc3,Win32,60,a,1,0.524745,,,,,,,,0.524745,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
