instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.110185185,-0.227777778,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.110185185,-0.227777778,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,0,1.5138,,,,,,,,1.5138,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,1.524,,,,,,,,1.524,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,1.2347,,,,,,,,1.2347,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,0.6843,,,,,,,,0.6843,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,1.6726,,,,,,,,1.6726,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,1.0749,,,,,,,,1.0749,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,0.5751,,,,,,,,0.5751,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,1.051,,,,,,,,1.051,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,0.6959,,,,,,,,0.6959,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,0.9297,,,,,,,,0.9297,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,1.7534,,,,,,,,1.7534,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,1.4056,,,,,,,,1.4056,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,1.0177,,,,,,,,1.0177,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,0.6014,,,,,,,,0.6014,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,0.7505,,,,,,,,0.7505,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,1,0.5678,,,,,,,,0.5678,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,a,1,0.5548,,,,,,,,0.5548,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,james,1,001,male,2022-03-12_17h54.08.726,openIAT,2020.1.0rc3,Win32,60,l,0,0.4297,,,,,,,,0.4297,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
