instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.167592608,-0.290740753,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.167592608,-0.290740753,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.4191,,,,,,,,1.4191,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.83154,,,,,,,,0.83154,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.37975,,,,,,,,1.37975,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,5.29642,,,,,,,,5.29642,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.667195,,,,,,,,0.667195,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.52351,,,,,,,,0.52351,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.10525,,,,,,,,1.10525,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.980695,,,,,,,,0.980695,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.71572,,,,,,,,0.71572,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.950435,,,,,,,,0.950435,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,2.22013,,,,,,,,2.22013,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.758145,,,,,,,,0.758145,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,0,0.72352,,,,,,,,0.72352,0,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.90744,,,,,,,,1.90744,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.706425,,,,,,,,0.706425,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,0,0.54674,,,,,,,,0.54674,0,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,0,0.30664,,,,,,,,0.30664,0,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.85226,,,,,,,,0.85226,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.65568,,,,,,,,0.65568,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.659205,,,,,,,,0.659205,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,7.934395,,,,,,,,7.934395,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.840385,,,,,,,,0.840385,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.88787,,,,,,,,0.88787,1,0,2,2,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.538535,,,,,,,,0.538535,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.46968,,,,,,,,0.46968,1,0,4,4,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.633085,,,,,,,,0.633085,1,0,5,5,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.57883,,,,,,,,0.57883,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.63802,,,,,,,,0.63802,1,0,7,7,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.819675,,,,,,,,0.819675,1,0,8,8,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.505825,,,,,,,,0.505825,1,0,9,9,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.508945,,,,,,,,0.508945,1,0,10,10,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.499635,,,,,,,,0.499635,1,0,11,11,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.896635,,,,,,,,0.896635,1,0,12,12,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.59559,,,,,,,,0.59559,1,0,13,13,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.583935,,,,,,,,0.583935,1,0,14,14,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.64712,,,,,,,,0.64712,1,0,15,15,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.63026,,,,,,,,0.63026,1,0,16,16,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.596845,,,,,,,,0.596845,1,0,17,17,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.663455,,,,,,,,0.663455,1,0,18,18,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.99486,,,,,,,,0.99486,1,0,19,19,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.38498,,,,,,,,1.38498,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.784775,,,,,,,,0.784775,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.897175,,,,,,,,0.897175,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.45012,,,,,,,,1.45012,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.76608,,,,,,,,0.76608,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.8212,,,,,,,,0.8212,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.69604,,,,,,,,0.69604,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.70123,,,,,,,,0.70123,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.102655,,,,,,,,1.102655,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.768615,,,,,,,,0.768615,1,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.467205,,,,,,,,1.467205,1,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.83275,,,,,,,,0.83275,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.21149,,,,,,,,1.21149,1,0,2,2,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.795325,,,,,,,,0.795325,1,0,3,3,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.687525,,,,,,,,0.687525,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,0,0.589015,,,,,,,,0.589015,0,0,5,5,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.18429,,,,,,,,1.18429,1,0,6,6,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,a,1,1.01929,,,,,,,,1.01929,1,0,7,7,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,jinny,1,001,male,2020-11-03_22h56.44.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.62093,,,,,,,,0.62093,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
