instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.140772502,-0.395105998,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140772502,-0.395105998,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.52563,,,,,,,,1.52563,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.666235,,,,,,,,0.666235,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.78638,,,,,,,,0.78638,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.690015,,,,,,,,0.690015,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.071905,,,,,,,,1.071905,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.83556,,,,,,,,0.83556,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.13158,,,,,,,,3.13158,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.767105,,,,,,,,0.767105,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.83434,,,,,,,,0.83434,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.700955,,,,,,,,0.700955,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.817175,,,,,,,,0.817175,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.63505,,,,,,,,0.63505,1,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.61825,,,,,,,,0.61825,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.42277,,,,,,,,1.42277,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.388185,,,,,,,,1.388185,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.05426,,,,,,,,1.05426,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.853075,,,,,,,,0.853075,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.569265,,,,,,,,0.569265,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.852975,,,,,,,,0.852975,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.685415,,,,,,,,0.685415,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.386545,,,,,,,,1.386545,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8732,,,,,,,,0.8732,1,0,1,1,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.820445,,,,,,,,0.820445,1,0,2,2,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7857,,,,,,,,0.7857,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.76968,,,,,,,,0.76968,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.50427,,,,,,,,0.50427,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.531925,,,,,,,,0.531925,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7866,,,,,,,,0.7866,1,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.86703,,,,,,,,0.86703,1,0,8,8,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.537625,,,,,,,,0.537625,1,0,9,9,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.51515,,,,,,,,0.51515,1,0,10,10,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,kamiimak,1,001,male,2021-01-24_23h11.46.999,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5154,,,,,,,,0.5154,1,0,11,11,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
