instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.087165799,-0.131119792,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.087165799,-0.131119792,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.466365,,,,,,,,1.466365,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.401365,,,,,,,,1.401365,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.048895,,,,,,,,1.048895,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.11232,,,,,,,,1.11232,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.20197,,,,,,,,2.20197,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.982335,,,,,,,,0.982335,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.680105,,,,,,,,1.680105,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,leti,2,001,female,2021-03-03_10h47.03.566,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.875465,,,,,,,,0.875465,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
