instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.083333333,-0.182222222,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.083333333,-0.182222222,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,5,,,,,,,,5,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.141,,,,,,,,0.141,0,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,9.037,,,,,,,,9.037,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.616,,,,,,,,1.616,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.021,,,,,,,,2.021,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.133,,,,,,,,1.133,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.332,,,,,,,,1.332,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.941,,,,,,,,0.941,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.484,,,,,,,,1.484,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.773,,,,,,,,0.773,0,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,7.297,,,,,,,,7.297,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.044,,,,,,,,1.044,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.875,,,,,,,,0.875,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.404,,,,,,,,0.404,0,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.572,,,,,,,,0.572,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.369,,,,,,,,0.369,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.422,,,,,,,,0.422,0,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.676,,,,,,,,0.676,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.066,,,,,,,,1.066,1,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.818,,,,,,,,0.818,1,0,9,9,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,3.701,,,,,,,,3.701,1,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.32,,,,,,,,1.32,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.947,,,,,,,,0.947,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.837,,,,,,,,1.837,0,0,3,3,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.69,,,,,,,,1.69,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,ll1,2,001,female,2022-02-21_09h27.35.104,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.336,,,,,,,,0.336,0,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
