instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.010185185,-0.105555556,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010185185,-0.105555556,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.169,,,,,,,,1.169,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.752,,,,,,,,0.752,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.668,,,,,,,,0.668,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.708,,,,,,,,0.708,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.653,,,,,,,,0.653,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.566,,,,,,,,0.566,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.511,,,,,,,,0.511,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.658,,,,,,,,0.658,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.539,,,,,,,,0.539,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.678,,,,,,,,0.678,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.816,,,,,,,,0.816,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.603,,,,,,,,0.603,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.686,,,,,,,,0.686,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,m,1,001,male,2022-10-08_12h53.52.175,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.675,,,,,,,,0.675,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
