instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.022222222,-0.388888889,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.571296296,-0.498148148,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,1.1484,,,,,,,,1.1484,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.5467,,,,,,,,0.5467,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,1.1372,,,,,,,,1.1372,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.8068,,,,,,,,0.8068,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,0.8248,,,,,,,,0.8248,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,1.6361,,,,,,,,1.6361,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,0.7922,,,,,,,,0.7922,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.9339,,,,,,,,0.9339,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.7025,,,,,,,,0.7025,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,0.7644,,,,,,,,0.7644,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,14.8692,,,,,,,,14.8692,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,2.7138,,,,,,,,2.7138,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,1.3954,,,,,,,,1.3954,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.9842,,,,,,,,0.9842,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,0.8683,,,,,,,,0.8683,1,0,4,4,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.7729,,,,,,,,0.7729,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.8893,,,,,,,,0.8893,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.7338,,,,,,,,0.7338,1,0,7,7,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,a,1,0.7181,,,,,,,,0.7181,1,0,8,8,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,l,1,0.8363,,,,,,,,0.8363,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,....,2,001,male,2022-03-30_07h40.25.967,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
