instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.166666667,-0.1796875,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.166666667,-0.1796875,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.4795,,,,,,,,1.4795,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.3716,,,,,,,,1.3716,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.8297,,,,,,,,0.8297,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.769,,,,,,,,0.769,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7789,,,,,,,,0.7789,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.7224,,,,,,,,0.7224,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,1,0.6131,,,,,,,,0.6131,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.0522,,,,,,,,1.0522,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,a,0,1.7463,,,,,,,,1.7463,0,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,l,1,1.0943,,,,,,,,1.0943,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,pavlov,1,001,male,2023-10-02_23h48.02.133,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
