instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.126302083,-0.376302083,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.126302083,-0.376302083,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,1,1.445,,,,,,,,1.445,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,l,1,0.899,,,,,,,,0.899,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,1,0.793,,,,,,,,0.793,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,l,1,0.892,,,,,,,,0.892,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,1,1.051,,,,,,,,1.051,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,l,1,0.741,,,,,,,,0.741,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,0,1.196,,,,,,,,1.196,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,1,0.914,,,,,,,,0.914,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,probe,1,001,male,2021-06-05_13h21.44.729,openIAT,2020.1.0rc3,Win32,60,a,1,0.894,,,,,,,,0.894,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
