instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.058333347,-0.309259271,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014814828,-0.261111179,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,1,3.4522,,,,,,,,3.4522,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,l,1,2.9504,,,,,,,,2.9504,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,1,1.2998,,,,,,,,1.2998,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,1,1.1547,,,,,,,,1.1547,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,l,1,1.7242,,,,,,,,1.7242,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,1,1.7065,,,,,,,,1.7065,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,l,1,1.8502,,,,,,,,1.8502,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,l,1,1.4212,,,,,,,,1.4212,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,0,1.3834,,,,,,,,1.3834,0,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,a,1,3.0434,,,,,,,,3.0434,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,q,2,001,male,2022-03-30_23h21.41.971,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
