instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.094444444,-0.261111111,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094444444,-0.261111111,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.0149,,,,,,,,1.0149,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,0.8484,,,,,,,,0.8484,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.467,,,,,,,,1.467,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.0101,,,,,,,,1.0101,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.4266,,,,,,,,1.4266,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.4095,,,,,,,,1.4095,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.1606,,,,,,,,1.1606,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.6336,,,,,,,,1.6336,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,0.9553,,,,,,,,0.9553,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,0.6929,,,,,,,,0.6929,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.3897,,,,,,,,1.3897,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.3583,,,,,,,,1.3583,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.2432,,,,,,,,1.2432,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.3434,,,,,,,,1.3434,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,2.4251,,,,,,,,2.4251,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,0.9686,,,,,,,,0.9686,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,0.7305,,,,,,,,0.7305,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,0.7018,,,,,,,,0.7018,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,0,1.1452,,,,,,,,1.1452,0,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,a,1,1.2946,,,,,,,,1.2946,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,1.7293,,,,,,,,1.7293,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,0.7405,,,,,,,,0.7405,1,0,1,1,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,qwerty,1,001,male,2023-09-08_12h20.14.003,openIAT,2020.1.0rc3,Win32,60,l,1,2.0589,,,,,,,,2.0589,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
