instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.128333359,-0.265833359,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128333359,-0.265833359,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,a,1,1.0946,,,,,,,,1.0946,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,1,0.9085,,,,,,,,0.9085,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,a,1,1.0633,,,,,,,,1.0633,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,1,0.5581,,,,,,,,0.5581,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,0,1.01,,,,,,,,1.01,0,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,1,1.3407,,,,,,,,1.3407,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,1,0.7618,,,,,,,,0.7618,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,a,1,0.5934,,,,,,,,0.5934,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,sissi,2,001,male,2022-11-21_17h48.42.716,openIAT,2020.1.0rc3,Win32,60,l,1,1.0407,,,,,,,,1.0407,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
