instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.037037065,-0.294444468,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.037037065,-0.294444468,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,1.19533,,,,,,,,1.19533,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.67747,,,,,,,,0.67747,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.94904,,,,,,,,0.94904,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.60915,,,,,,,,0.60915,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,0,0.607885,,,,,,,,0.607885,0,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.64057,,,,,,,,0.64057,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.398395,,,,,,,,0.398395,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.28947,,,,,,,,0.28947,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,0,0.28706,,,,,,,,0.28706,0,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.68731,,,,,,,,0.68731,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,1.927435,,,,,,,,1.927435,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.70833,,,,,,,,0.70833,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.46233,,,,,,,,0.46233,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,0,0.45017,,,,,,,,0.45017,0,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,1.48842,,,,,,,,1.48842,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.590735,,,,,,,,0.590735,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.79856,,,,,,,,0.79856,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.63836,,,,,,,,0.63836,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.589935,,,,,,,,0.589935,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.49425,,,,,,,,0.49425,1,0,9,9,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,1.623395,,,,,,,,1.623395,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.891655,,,,,,,,0.891655,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.725945,,,,,,,,0.725945,1,0,2,2,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.844395,,,,,,,,0.844395,1,0,3,3,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,l,1,0.838405,,,,,,,,0.838405,1,0,4,4,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,wyx,1,001,female,2020-12-04_20h59.06.436,openIAT,2020.1.0rc3,Win32,60,a,1,0.743725,,,,,,,,0.743725,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
