instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.243489583,-0.079427083,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.243489583,-0.079427083,1,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,l,1,1.8336,,,,,,,,1.8336,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,a,1,0.71756,,,,,,,,0.71756,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,a,1,0.567115,,,,,,,,0.567115,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,l,1,1.21669,,,,,,,,1.21669,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,a,1,1.06721,,,,,,,,1.06721,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,a,1,1.584155,,,,,,,,1.584155,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,l,1,0.7376,,,,,,,,0.7376,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,l,1,0.884015,,,,,,,,0.884015,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,l,1,1.135785,0.279947917,-0.001302083,1,0,0,0.433065,,1.135785,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,a,1,0.705145,,,,,,,,0.705145,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,xd,1,001,male,2020-09-27_16h41.57.155,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
