instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.118518549,-0.264814838,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118518549,-0.264814838,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,l,1,2.51345,,,,,,,,2.51345,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,a,1,1.01212,,,,,,,,1.01212,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,l,1,2.765445,,,,,,,,2.765445,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.897345,,,,,,,,0.897345,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.81207,,,,,,,,0.81207,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.631705,,,,,,,,0.631705,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.02019,,,,,,,,1.02019,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,a,1,0.71354,,,,,,,,0.71354,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,l,1,1.19667,,,,,,,,1.19667,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,l,1,0.891835,,,,,,,,0.891835,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,yang,1,001,male,2022-10-21_21h23.59.084,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
